result_type,model,surface,benchmark_or_pack,domain_or_task,runs,passed,pass_rate,available,wall_duration_ms,failure_class_or_modes,source_file,notes
operation_domain,deepseek-r1:8b,ollama_http,operations_first_pack_2026-06-07,role_based_task_execution,1,0,0.0,,121466.2,"{""empty_content"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_overall,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,all_operation_domains,13,3,0.2308,,83137.9,"{""json_parse_error"": 1, ""validator_failure"": 9}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Strict one-trial operation fixture matrix; route only where validators pass.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,compliance_policy,1,0,0.0,,94635.9,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,computer_control_app_use,1,0,0.0,,87631.7,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,conceptualization_strategy,1,0,0.0,,90620.9,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,data_analytics_kpi_diagnostics,1,0,0.0,,55838.5,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,financial_operations,1,1,1.0,,76761.7,{},C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,full_business_operations,1,0,0.0,,67425.4,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,market_forecasting_backtest,1,0,0.0,,139395.1,"{""json_parse_error"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,memory_context_management,1,0,0.0,,69198.9,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,model_to_model_orchestration,1,0,0.0,,68308.1,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,multi_agent_decomposition,1,0,0.0,,94969.1,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,public_content_law,1,1,1.0,,41439.9,{},C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,regex_pattern_creation,1,1,1.0,,81424.2,{},C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
operation_domain,gemma4:12b,ollama_http,operations_first_pack_2026-06-07,role_based_task_execution,1,0,0.0,,113143.9,"{""validator_failure"": 1}",C:\Users\Couch\Documents\Claude\Projects\Home of Claude - MSI Auto Project\orchestrator_contracts\local_model_operation_scores_2026-06-07.json,Domain score from deterministic fixture validator.
